No,名前,タイプ1,タイプ2,HP,攻撃,防御,特攻,特防,素早,おもさ,とくせい1,とくせい2,かくれとくせい,使用可能
224,オクタン,みず,,75,105,75,105,75,45,28.5,きゅうばん,スナイパー,ムラっけ,
225,デリバード,こおり,ひこう,45,55,45,65,45,75,16,やるき,はりきり,ふみん,
226,マンタイン,みず,ひこう,85,40,70,80,140,70,220,すいすい,ちょすい,みずのベール,
227,エアームド,はがね,ひこう,65,80,140,40,70,70,50.5,するどいめ,がんじょう,くだけるよろい,TRUE
227,メガエアームド,はがね,ひこう,65,140,110,40,100,110,40.4,すじがねいり,,,TRUE
228,デルビル,あく,ほのお,45,60,30,80,50,65,10.8,はやおき,もらいび,きんちょうかん,
229,ヘルガー,あく,ほのお,75,90,50,110,80,95,35,はやおき,もらいび,きんちょうかん,TRUE
229,メガヘルガー,あく,ほのお,75,90,90,140,90,115,49.5,サンパワー,,,TRUE
230,キングドラ,みず,ドラゴン,75,95,95,95,95,85,152,すいすい,スナイパー,しめりけ,
231,ゴマゾウ,じめん,,90,60,60,40,40,40,33.5,ものひろい,,すながくれ,
232,ドンファン,じめん,,90,120,120,60,60,50,120,がんじょう,,すながくれ,
233,ポリゴン２,ノーマル,,85,80,90,105,95,60,32.5,トレース,ダウンロード,アナライズ,
234,オドシシ,ノーマル,,73,95,62,85,65,85,71.2,いかく,おみとおし,そうしょく,
235,ドーブル,ノーマル,,55,20,35,20,45,75,58,マイペース,テクニシャン,ムラっけ,
236,バルキー,かくとう,,35,35,35,35,35,35,21,こんじょう,ふくつのこころ,やるき,
237,カポエラー,かくとう,,50,95,95,35,110,70,48,いかく,テクニシャン,ふくつのこころ,
238,ムチュール,こおり,エスパー,45,30,15,85,65,65,6,どんかん,よちむ,うるおいボディ,
239,エレキッド,でんき,,45,63,37,65,55,95,23.5,せいでんき,,やるき,
240,ブビィ,ほのお,,45,75,37,70,55,83,21.4,ほのおのからだ,,やるき,
241,ミルタンク,ノーマル,,95,80,105,40,70,100,75.5,あついしぼう,きもったま,そうしょく,
242,ハピナス,ノーマル,,255,10,10,75,135,55,46.8,しぜんかいふく,てんのめぐみ,いやしのこころ,
243,ライコウ,でんき,,90,85,75,115,100,115,178,プレッシャー,,せいしんりょく,
244,エンテイ,ほのお,,115,115,85,90,75,100,198,プレッシャー,,せいしんりょく,
245,スイクン,みず,,100,75,115,90,115,85,187,プレッシャー,,せいしんりょく,
246,ヨーギラス,いわ,じめん,50,64,50,45,50,41,72,こんじょう,,すながくれ,
247,サナギラス,いわ,じめん,70,84,70,65,70,51,152,だっぴ,,,
248,バンギラス,いわ,あく,100,134,110,95,100,61,202,すなおこし,,きんちょうかん,TRUE
248,メガバンギラス,いわ,あく,100,164,150,95,120,71,255,すなおこし,,,TRUE
249,ルギア,エスパー,ひこう,106,90,130,90,154,110,216,プレッシャー,,マルチスケイル,
250,ホウオウ,ほのお,ひこう,106,130,90,110,154,90,199,プレッシャー,,さいせいりょく,
251,セレビィ,エスパー,くさ,100,100,100,100,100,100,5,しぜんかいふく,,,
252,キモリ,くさ,,40,45,35,65,55,70,5,しんりょく,,かるわざ,
253,ジュプトル,くさ,,50,65,45,85,65,95,21.6,しんりょく,,かるわざ,
254,ジュカイン,くさ,,70,85,65,105,85,120,52.2,しんりょく,,かるわざ,TRUE
254,メガジュカイン,くさ,ドラゴン,70,110,75,145,85,145,55.2,ひらいしん,,,TRUE
255,アチャモ,ほのお,,45,60,40,70,50,45,2.5,もうか,,かそく,
256,ワカシャモ,ほのお,かくとう,60,85,60,85,60,55,19.5,もうか,,かそく,
257,バシャーモ,ほのお,かくとう,80,120,70,110,70,80,52,もうか,,かそく,TRUE
257,メガバシャーモ,ほのお,かくとう,80,160,80,130,80,100,52,かそく,,,TRUE
258,ミズゴロウ,みず,,50,70,50,50,50,40,7.6,げきりゅう,,しめりけ,
259,ヌマクロー,みず,じめん,70,85,70,60,70,50,28,げきりゅう,,しめりけ,
260,ラグラージ,みず,じめん,100,110,90,85,90,60,81.9,げきりゅう,,しめりけ,TRUE
260,メガラグラージ,みず,じめん,100,150,110,95,110,70,102,すいすい,,,TRUE
261,ポチエナ,あく,,35,55,35,30,30,35,13.6,にげあし,はやあし,びびり,
262,グラエナ,あく,,70,90,70,60,60,70,37,いかく,はやあし,じしんかじょう,
263,ジグザグマ,ノーマル,,38,30,41,30,41,60,17.5,ものひろい,くいしんぼう,はやあし,
264,マッスグマ,ノーマル,,78,70,61,50,61,100,32.5,ものひろい,くいしんぼう,はやあし,
265,ケムッソ,むし,,45,45,35,20,30,20,3.6,りんぷん,,にげあし,
266,カラサリス,むし,,50,35,55,25,25,15,10,だっぴ,,,
267,アゲハント,むし,ひこう,60,70,50,100,50,65,28.4,むしのしらせ,,とうそうしん,
268,マユルド,むし,,50,35,55,25,25,15,11.5,だっぴ,,,
269,ドクケイル,むし,どく,60,50,70,50,90,65,31.6,りんぷん,,ふくがん,
270,ハスボー,みず,くさ,40,30,30,40,50,30,2.6,すいすい,あめうけざら,マイペース,
271,ハスブレロ,みず,くさ,60,50,50,60,70,50,32.5,すいすい,あめうけざら,マイペース,
272,ルンパッパ,みず,くさ,80,70,70,90,100,70,55,すいすい,あめうけざら,マイペース,
273,タネボー,くさ,,40,40,50,30,30,30,4,ようりょくそ,はやおき,わるいてぐせ,
274,コノハナ,くさ,あく,70,70,40,60,40,60,28,ようりょくそ,はやおき,わるいてぐせ,
275,ダーテング,くさ,あく,90,100,60,90,60,80,59.6,ようりょくそ,かぜのり,わるいてぐせ,
276,スバメ,ノーマル,ひこう,40,55,30,30,30,85,2.3,こんじょう,,きもったま,
277,オオスバメ,ノーマル,ひこう,60,85,60,75,50,125,19.8,こんじょう,,きもったま,
278,キャモメ,みず,ひこう,40,30,30,55,30,85,9.5,するどいめ,うるおいボディ,あめうけざら,
279,ペリッパー,みず,ひこう,60,50,100,95,70,65,28,するどいめ,あめふらし,あめうけざら,TRUE
280,ラルトス,エスパー,フェアリー,28,25,25,45,35,40,6.6,シンクロ,トレース,テレパシー,
281,キルリア,エスパー,フェアリー,38,35,35,65,55,50,20.2,シンクロ,トレース,テレパシー,
282,サーナイト,エスパー,フェアリー,68,65,65,125,115,80,48.4,シンクロ,トレース,テレパシー,TRUE
282,メガサーナイト,エスパー,フェアリー,68,85,65,165,135,100,48.4,フェアリースキン,,,TRUE
283,アメタマ,むし,みず,40,30,32,50,52,65,1.7,すいすい,,あめうけざら,
284,アメモース,むし,ひこう,70,60,62,100,82,80,3.6,いかく,,きんちょうかん,
285,キノココ,くさ,,60,40,60,40,60,35,4.5,ほうし,ポイズンヒール,はやあし,
286,キノガッサ,くさ,かくとう,60,130,80,60,60,70,39.2,ほうし,ポイズンヒール,テクニシャン,
287,ナマケロ,ノーマル,,60,60,60,35,35,30,24,なまけ,,,
288,ヤルキモノ,ノーマル,,80,80,80,55,55,90,46.5,やるき,,,
289,ケッキング,ノーマル,,150,160,100,95,65,100,130.5,なまけ,,,
290,ツチニン,むし,じめん,31,45,90,30,30,40,5.5,ふくがん,,にげあし,
291,テッカニン,むし,ひこう,61,90,45,50,50,160,12,かそく,,すりぬけ,
292,ヌケニン,むし,ゴースト,1,90,45,30,30,40,1.2,ふしぎなまもり,,,
293,ゴニョニョ,ノーマル,,64,51,23,51,23,28,16.3,ぼうおん,,びびり,
294,ドゴーム,ノーマル,,84,71,43,71,43,48,40.5,ぼうおん,,きもったま,
295,バクオング,ノーマル,,104,91,63,91,73,68,84,ぼうおん,,きもったま,
296,マクノシタ,かくとう,,72,60,30,20,30,25,86.4,あついしぼう,こんじょう,ちからずく,
297,ハリテヤマ,かくとう,,144,120,60,40,60,50,253.8,あついしぼう,こんじょう,ちからずく,
298,ルリリ,ノーマル,フェアリー,50,20,40,20,40,20,2,あついしぼう,ちからもち,そうしょく,
299,ノズパス,いわ,,30,45,135,45,90,30,97,がんじょう,じりょく,すなのちから,
300,エネコ,ノーマル,,50,45,45,35,35,50,11,メロメロボディ,ノーマルスキン,ミラクルスキン,
301,エネコロロ,ノーマル,,70,65,65,55,55,90,32.6,メロメロボディ,ノーマルスキン,ミラクルスキン,
302,ヤミラミ,あく,ゴースト,50,75,75,65,65,50,11,するどいめ,あとだし,いたずらごころ,TRUE
302,メガヤミラミ,あく,ゴースト,50,85,125,85,115,20,161,マジックミラー,,,TRUE
303,クチート,はがね,フェアリー,50,85,85,55,55,50,11.5,かいりきバサミ,いかく,ちからずく,TRUE
303,メガクチート,はがね,フェアリー,50,105,125,55,95,50,23.5,ちからもち,,,TRUE
304,ココドラ,はがね,いわ,50,70,100,40,40,30,60,がんじょう,いしあたま,ヘヴィメタル,
305,コドラ,はがね,いわ,60,90,140,50,50,40,120,がんじょう,いしあたま,ヘヴィメタル,
306,ボスゴドラ,はがね,いわ,70,110,180,60,60,50,360,がんじょう,いしあたま,ヘヴィメタル,TRUE
306,メガボスゴドラ,はがね,いわ,70,140,230,60,80,50,395,フィルター,,,TRUE
307,アサナン,かくとう,エスパー,30,40,55,40,55,60,11.2,ヨガパワー,,テレパシー,
308,チャーレム,かくとう,エスパー,60,60,75,60,75,80,31.5,ヨガパワー,,テレパシー,TRUE
308,メガチャーレム,かくとう,エスパー,60,100,85,80,85,100,31.5,ヨガパワー,,,TRUE
309,ラクライ,でんき,,40,45,40,65,40,65,15.2,せいでんき,ひらいしん,マイナス,
310,ライボルト,でんき,,70,75,60,105,60,105,40.2,せいでんき,ひらいしん,マイナス,TRUE
310,メガライボルト,でんき,,70,75,80,135,80,135,44,いかく,,,TRUE
311,プラスル,でんき,,60,50,40,85,75,95,4.2,プラス,,ひらいしん,
312,マイナン,でんき,,60,40,50,75,85,95,4.2,マイナス,,ちくでん,
313,バルビート,むし,,65,73,75,47,85,85,17.7,はっこう,むしのしらせ,いたずらごころ,
314,イルミーゼ,むし,,65,47,75,73,85,85,17.7,どんかん,いろめがね,いたずらごころ,
315,ロゼリア,くさ,どく,50,60,45,100,80,65,2,しぜんかいふく,どくのトゲ,リーフガード,
316,ゴクリン,どく,,70,43,53,43,53,40,10.3,ヘドロえき,ねんちゃく,くいしんぼう,
317,マルノーム,どく,,100,73,83,73,83,55,80,ヘドロえき,ねんちゃく,くいしんぼう,TRUE
318,キバニア,みず,あく,45,90,20,65,20,65,20.8,さめはだ,,かそく,
319,サメハダー,みず,あく,70,120,40,95,40,95,88.8,さめはだ,,かそく,TRUE
319,メガサメハダー,みず,あく,70,140,70,110,65,105,130.3,がんじょうあご,,,TRUE
320,ホエルコ,みず,,130,70,35,70,35,60,130,みずのベール,どんかん,プレッシャー,
321,ホエルオー,みず,,170,90,45,90,45,60,398,みずのベール,どんかん,プレッシャー,
322,ドンメル,ほのお,じめん,60,60,40,65,45,35,24,どんかん,たんじゅん,マイペース,
323,バクーダ,ほのお,じめん,70,100,70,105,75,40,220,マグマのよろい,ハードロック,いかりのつぼ,TRUE
323,メガバクーダ,ほのお,じめん,70,120,100,145,105,20,320.5,ちからずく,,,TRUE
324,コータス,ほのお,,70,85,140,85,70,20,80.4,しろいけむり,ひでり,シェルアーマー,TRUE
325,バネブー,エスパー,,60,25,35,70,80,60,30.6,あついしぼう,マイペース,くいしんぼう,
326,ブーピッグ,エスパー,,80,45,65,90,110,80,71.5,あついしぼう,マイペース,くいしんぼう,
327,パッチール,ノーマル,,60,60,60,60,60,60,5,マイペース,ちどりあし,あまのじゃく,
328,ナックラー,じめん,,45,100,45,45,45,10,15,かいりきバサミ,ありじごく,ちからずく,
329,ビブラーバ,じめん,ドラゴン,50,70,50,50,50,70,15.3,ふゆう,,,
330,フライゴン,じめん,ドラゴン,80,100,80,80,80,100,82,ふゆう,,,
331,サボネア,くさ,,50,85,40,85,40,35,51.3,すながくれ,,ちょすい,
332,ノクタス,くさ,あく,70,115,60,115,60,55,77.4,すながくれ,,ちょすい,
333,チルット,ノーマル,ひこう,45,40,60,40,75,50,1.2,しぜんかいふく,,ノーてんき,
334,チルタリス,ドラゴン,ひこう,75,70,90,70,105,80,20.6,しぜんかいふく,,ノーてんき,TRUE
334,メガチルタリス,ドラゴン,フェアリー,75,110,110,110,105,80,20.6,フェアリースキン,,,TRUE
335,ザングース,ノーマル,,73,115,60,60,60,90,40.3,めんえき,,どくぼうそう,
336,ハブネーク,どく,,73,100,60,100,60,65,52.5,だっぴ,,すりぬけ,
337,ルナトーン,いわ,エスパー,90,55,65,95,85,70,168,ふゆう,,,
338,ソルロック,いわ,エスパー,90,95,85,55,65,70,154,ふゆう,,,
339,ドジョッチ,みず,じめん,50,48,43,46,41,60,1.9,どんかん,きけんよち,うるおいボディ,
340,ナマズン,みず,じめん,110,78,73,76,71,60,23.6,どんかん,きけんよち,うるおいボディ,
341,ヘイガニ,みず,,43,80,65,50,35,35,11.5,かいりきバサミ,シェルアーマー,てきおうりょく,
342,シザリガー,みず,あく,63,120,85,90,55,55,32.8,かいりきバサミ,シェルアーマー,てきおうりょく,
343,ヤジロン,じめん,エスパー,40,40,55,40,70,55,21.5,ふゆう,,,
344,ネンドール,じめん,エスパー,60,70,105,70,120,75,108,ふゆう,,,
345,リリーラ,いわ,くさ,66,41,77,61,87,23,23.8,きゅうばん,,よびみず,
346,ユレイドル,いわ,くさ,86,81,97,81,107,43,60.4,きゅうばん,,よびみず,
347,アノプス,いわ,むし,45,95,50,40,50,75,12.5,カブトアーマー,,すいすい,
348,アーマルド,いわ,むし,75,125,100,70,80,45,68.2,カブトアーマー,,すいすい,
349,ヒンバス,みず,,20,15,20,10,55,80,7.4,すいすい,どんかん,てきおうりょく,
350,ミロカロス,みず,,95,60,79,100,125,81,162,ふしぎなうろこ,かちき,メロメロボディ,TRUE
351,ポワルン,こおり,,70,70,70,70,70,70,0.8,てんきや,,,TRUE
352,カクレオン,ノーマル,,60,90,70,60,120,40,22,へんしょく,,へんげんじざい,
353,カゲボウズ,ゴースト,,44,75,35,63,33,45,2.3,ふみん,おみとおし,のろわれボディ,
354,ジュペッタ,ゴースト,,64,115,65,83,63,65,12.5,ふみん,おみとおし,のろわれボディ,TRUE
354,メガジュペッタ,ゴースト,,64,165,75,93,83,75,13,いたずらごころ,,,TRUE
355,ヨマワル,ゴースト,,20,40,90,30,90,25,15,ふゆう,,おみとおし,
356,サマヨール,ゴースト,,40,70,130,60,130,25,30.6,プレッシャー,,おみとおし,
357,トロピウス,くさ,ひこう,99,68,83,72,87,51,100,ようりょくそ,サンパワー,しゅうかく,
358,チリーン,エスパー,,75,50,80,95,90,65,1,ふゆう,,,TRUE
358,メガチリーン,エスパー,はがね,75,50,110,135,120,65,8,ふゆう,,,TRUE
359,アブソル,あく,,65,130,60,75,60,75,47,プレッシャー,きょううん,せいぎのこころ,TRUE
359,メガアブソル,あく,,65,150,60,115,60,115,49,マジックミラー,,,TRUE
359,メガアブソルZ,あく,ゴースト,65,154,60,75,60,151,49,きれあじ,,,TRUE
360,ソーナノ,エスパー,,95,23,48,23,48,23,14,かげふみ,,テレパシー,
361,ユキワラシ,こおり,,50,50,50,50,50,50,16.8,せいしんりょく,アイスボディ,ムラっけ,
362,オニゴーリ,こおり,,80,80,80,80,80,80,256.5,せいしんりょく,アイスボディ,ムラっけ,TRUE
362,メガオニゴーリ,こおり,,80,120,80,120,80,100,350.2,フリーズスキン,,,TRUE
363,タマザラシ,こおり,みず,70,40,50,55,50,25,39.5,あついしぼう,アイスボディ,どんかん,
364,トドグラー,こおり,みず,90,60,70,75,70,45,87.6,あついしぼう,アイスボディ,どんかん,
365,トドゼルガ,こおり,みず,110,80,90,95,90,65,150.6,あついしぼう,アイスボディ,どんかん,
366,パールル,みず,,35,64,85,74,55,32,52.5,シェルアーマー,,びびり,
367,ハンテール,みず,,55,104,105,94,75,52,27,すいすい,,みずのベール,
368,サクラビス,みず,,55,84,105,114,75,52,22.6,すいすい,,うるおいボディ,
369,ジーランス,みず,いわ,100,90,130,45,65,55,23.4,すいすい,いしあたま,がんじょう,
370,ラブカス,みず,,43,30,55,40,65,97,8.7,すいすい,,うるおいボディ,
371,タツベイ,ドラゴン,,45,75,60,40,30,50,42.1,いしあたま,,ちからずく,
372,コモルー,ドラゴン,,65,95,100,60,50,50,110.5,いしあたま,,ぼうじん,
373,ボーマンダ,ドラゴン,ひこう,95,135,80,110,80,100,102.6,いかく,,じしんかじょう,TRUE
373,メガボーマンダ,ドラゴン,ひこう,95,145,130,120,90,120,112.6,スカイスキン,,,TRUE
374,ダンバル,はがね,エスパー,40,55,80,35,60,30,95.2,クリアボディ,,ライトメタル,
375,メタング,はがね,エスパー,60,75,100,55,80,50,202.5,クリアボディ,,ライトメタル,
376,メタグロス,はがね,エスパー,80,135,130,95,90,70,550,クリアボディ,,ライトメタル,TRUE
376,メガメタグロス,はがね,エスパー,80,145,150,105,110,110,942.9,かたいツメ,,,TRUE
377,レジロック,いわ,,80,100,200,50,100,50,230,クリアボディ,,がんじょう,
378,レジアイス,こおり,,80,50,100,100,200,50,175,クリアボディ,,アイスボディ,
379,レジスチル,はがね,,80,75,150,75,150,50,205,クリアボディ,,ライトメタル,
380,ラティアス,ドラゴン,エスパー,80,80,90,110,130,110,40,ふゆう,,,
380,メガラティアス,ドラゴン,エスパー,80,100,120,140,150,110,52,ふゆう,,,
381,ラティオス,ドラゴン,エスパー,80,90,80,130,110,110,60,ふゆう,,,
381,メガラティオス,ドラゴン,エスパー,80,130,100,160,120,110,70,ふゆう,,,
382,カイオーガ,みず,,100,100,90,150,140,90,352,あめふらし,,,
382,ゲンシカイオーガ,みず,,100,150,90,180,160,90,430,はじまりのうみ,,,
383,グラードン,じめん,,100,150,140,100,90,90,950,ひでり,,,
383,ゲンシグラードン,じめん,ほのお,100,180,160,150,90,90,999.7,おわりのだいち,,,
384,レックウザ,ドラゴン,ひこう,105,150,90,150,90,95,206.5,エアロック,,,
384,メガレックウザ,ドラゴン,ひこう,105,180,100,180,100,115,392,デルタストリーム,,,
385,ジラーチ,はがね,エスパー,100,100,100,100,100,100,1.1,てんのめぐみ,,,
386,デオキシスN,エスパー,,50,150,50,150,50,150,60.8,プレッシャー,,,
386,デオキシスA,エスパー,,50,180,20,180,20,150,60.8,プレッシャー,,,
386,デオキシスD,エスパー,,50,70,160,70,160,90,60.8,プレッシャー,,,
386,デオキシスS,エスパー,,50,95,90,95,90,180,60.8,プレッシャー,,,
387,ナエトル,くさ,,55,68,64,45,55,31,10.2,しんりょく,,シェルアーマー,
388,ハヤシガメ,くさ,,75,89,85,55,65,36,97,しんりょく,,シェルアーマー,
389,ドダイトス,くさ,じめん,95,109,105,75,85,56,310,しんりょく,,シェルアーマー,TRUE
390,ヒコザル,ほのお,,44,58,44,58,44,61,6.2,もうか,,てつのこぶし,
391,モウカザル,ほのお,かくとう,64,78,52,78,52,81,22,もうか,,てつのこぶし,
392,ゴウカザル,ほのお,かくとう,76,104,71,104,71,108,55,もうか,,てつのこぶし,TRUE
393,ポッチャマ,みず,,53,51,53,61,56,40,5.2,げきりゅう,,かちき,
394,ポッタイシ,みず,,64,66,68,81,76,50,23,げきりゅう,,かちき,
395,エンペルト,みず,はがね,84,86,88,111,101,60,84.5,げきりゅう,,かちき,TRUE
396,ムックル,ノーマル,ひこう,40,55,30,30,30,60,2,するどいめ,,すてみ,
397,ムクバード,ノーマル,ひこう,55,75,50,40,40,80,15.5,いかく,,すてみ,
398,ムクホーク,ノーマル,ひこう,85,120,70,50,60,100,24.9,いかく,,すてみ,TRUE
398,メガムクホーク,かくとう,ひこう,85,140,100,60,90,110,50,あまのじゃく,,,TRUE
399,ビッパ,ノーマル,,59,45,40,35,40,31,20,たんじゅん,てんねん,ムラっけ,
400,ビーダル,ノーマル,みず,79,85,60,55,60,71,31.5,たんじゅん,てんねん,ムラっけ,
401,コロボーシ,むし,,37,25,41,25,41,25,2.2,だっぴ,,にげあし,
402,コロトック,むし,,77,85,51,55,51,65,25.5,むしのしらせ,,テクニシャン,
403,コリンク,でんき,,45,65,34,40,34,45,9.5,とうそうしん,いかく,こんじょう,
404,ルクシオ,でんき,,60,85,49,60,49,60,30.5,とうそうしん,いかく,こんじょう,
405,レントラー,でんき,,80,120,79,95,79,70,42,とうそうしん,いかく,こんじょう,TRUE
406,スボミー,くさ,どく,40,30,35,50,70,55,1.2,しぜんかいふく,どくのトゲ,リーフガード,
407,ロズレイド,くさ,どく,60,70,65,125,105,90,14.5,しぜんかいふく,どくのトゲ,テクニシャン,TRUE
408,ズガイドス,いわ,,67,125,40,30,30,58,31.5,かたやぶり,,ちからずく,
409,ラムパルド,いわ,,97,165,60,65,50,58,102.5,かたやぶり,,ちからずく,TRUE
410,タテトプス,いわ,はがね,30,42,118,42,88,30,57,がんじょう,,ぼうおん,
411,トリデプス,いわ,はがね,60,52,168,47,138,30,149.5,がんじょう,,ぼうおん,TRUE
412,ミノムッチ,むし,,40,29,45,29,45,36,3.4,だっぴ,,ぼうじん,
413,ミノマダム草,むし,くさ,60,59,85,79,105,36,6.5,きけんよち,,ぼうじん,
413,ミノマダム鋼,むし,はがね,60,59,85,79,105,36,6.5,きけんよち,,ぼうじん,
413,ミノマダム地面,むし,じめん,60,59,85,79,105,36,6.5,きけんよち,,ぼうじん,
414,ガーメイル,むし,ひこう,70,94,50,94,50,66,23.3,むしのしらせ,,いろめがね,
415,ミツハニー,むし,ひこう,30,30,42,30,42,70,5.5,みつあつめ,,はりきり,
416,ビークイン,むし,ひこう,70,80,102,80,102,40,38.5,プレッシャー,,きんちょうかん,
417,パチリス,でんき,,60,45,70,45,90,95,3.9,にげあし,ものひろい,ちくでん,
418,ブイゼル,みず,,55,65,35,60,30,85,29.5,すいすい,,みずのベール,
419,フローゼル,みず,,85,105,55,85,50,115,33.5,すいすい,,みずのベール,
420,チェリンボ,くさ,,45,35,45,62,53,35,3.3,ようりょくそ,,,
421,チェリム,くさ,,70,60,70,87,78,85,9.3,フラワーギフト,,,
422,カラナクシ,みず,,76,48,48,57,62,34,6.3,ねんちゃく,よびみず,すなのちから,
423,トリトドン,みず,じめん,111,83,68,92,82,39,29.9,ねんちゃく,よびみず,すなのちから,
424,エテボース,ノーマル,,75,100,66,60,66,115,20.3,テクニシャン,ものひろい,スキルリンク,
425,フワンテ,ゴースト,ひこう,90,50,34,60,44,70,1.2,ゆうばく,かるわざ,ねつぼうそう,
426,フワライド,ゴースト,ひこう,150,80,44,90,54,80,15,ゆうばく,かるわざ,ねつぼうそう,
427,ミミロル,ノーマル,,55,66,44,44,56,85,5.5,にげあし,ぶきよう,じゅうなん,
428,ミミロップ,ノーマル,,65,76,84,54,96,105,33.3,メロメロボディ,ぶきよう,じゅうなん,TRUE
428,メガミミロップ,ノーマル,かくとう,65,136,94,54,96,135,28.3,きもったま,,,TRUE
429,ムウマージ,ゴースト,,60,60,60,105,105,105,4.4,ふゆう,,,
430,ドンカラス,あく,ひこう,100,125,52,105,52,71,27.3,ふみん,きょううん,じしんかじょう,
431,ニャルマー,ノーマル,,49,55,42,42,37,85,3.9,じゅうなん,マイペース,するどいめ,
432,ブニャット,ノーマル,,71,82,64,64,59,112,43.8,あついしぼう,マイペース,まけんき,
433,リーシャン,エスパー,,45,30,50,65,50,45,0.6,ふゆう,,,
434,スカンプー,どく,あく,63,63,47,41,41,74,19.2,あくしゅう,ゆうばく,するどいめ,
435,スカタンク,どく,あく,103,93,67,71,61,84,38,あくしゅう,ゆうばく,するどいめ,
436,ドーミラー,はがね,エスパー,57,24,86,24,86,23,60.5,ふゆう,たいねつ,ヘヴィメタル,
437,ドータクン,はがね,エスパー,67,89,116,79,116,33,187,ふゆう,たいねつ,ヘヴィメタル,
438,ウソハチ,いわ,,50,80,95,10,45,10,15,がんじょう,いしあたま,びびり,
439,マネネ,エスパー,フェアリー,20,25,45,70,90,60,13,ぼうおん,フィルター,テクニシャン,
440,ピンプク,ノーマル,,100,5,5,15,65,30,24.4,しぜんかいふく,てんのめぐみ,フレンドガード,
441,ペラップ,ノーマル,ひこう,76,65,45,92,42,91,1.9,するどいめ,ちどりあし,はとむね,
442,ミカルゲ,ゴースト,あく,50,92,108,92,108,35,108,プレッシャー,,すりぬけ,TRUE
443,フカマル,ドラゴン,じめん,58,70,45,40,45,42,20.5,すながくれ,,さめはだ,
444,ガバイト,ドラゴン,じめん,68,90,65,50,55,82,56,すながくれ,,さめはだ,
445,ガブリアス,ドラゴン,じめん,108,130,95,80,85,102,95,すながくれ,,さめはだ,TRUE
445,メガガブリアス,ドラゴン,じめん,108,170,115,120,95,92,95,すなのちから,,,TRUE
445,メガガブリアスZ,ドラゴン,,108,130,85,141,85,151,99,ふゆう,,,TRUE
446,ゴンベ,ノーマル,,135,85,40,40,85,5,105,ものひろい,あついしぼう,くいしんぼう,
447,リオル,かくとう,,40,70,40,35,40,60,20.2,ふくつのこころ,せいしんりょく,いたずらごころ,
448,ルカリオ,かくとう,はがね,70,110,70,115,70,90,54,ふくつのこころ,せいしんりょく,せいぎのこころ,TRUE
448,メガルカリオ,かくとう,はがね,70,145,88,140,70,112,57.5,てきおうりょく,,,TRUE
448,メガルカリオZ,かくとう,はがね,70,100,70,164,70,151,49.4,はどうのぼうご,,,
449,ヒポポタス,じめん,,68,72,78,38,42,32,49.5,すなおこし,,すなのちから,
450,カバルドン,じめん,,108,112,118,68,72,47,300,すなおこし,,すなのちから,TRUE
451,スコルピ,どく,むし,40,50,90,30,55,65,12,カブトアーマー,スナイパー,するどいめ,
452,ドラピオン,どく,あく,70,90,110,60,75,95,61.5,カブトアーマー,スナイパー,するどいめ,
453,グレッグル,どく,かくとう,48,61,40,61,40,50,23,きけんよち,かんそうはだ,どくしゅ,
454,ドクロッグ,どく,かくとう,83,106,65,86,65,85,44.4,きけんよち,かんそうはだ,どくしゅ,TRUE
455,マスキッパ,くさ,,74,100,72,90,72,46,27,ふゆう,,,
456,ケイコウオ,みず,,49,49,56,49,61,66,7,すいすい,よびみず,みずのベール,
457,ネオラント,みず,,69,69,76,69,86,91,24,すいすい,よびみず,みずのベール,
458,タマンタ,みず,ひこう,45,20,50,60,120,50,65,すいすい,ちょすい,みずのベール,
459,ユキカブリ,くさ,こおり,60,62,50,62,60,40,50.5,ゆきふらし,,ぼうおん,
460,ユキノオー,くさ,こおり,90,92,75,92,85,60,135.5,ゆきふらし,,ぼうおん,TRUE
460,メガユキノオー,くさ,こおり,90,132,105,132,105,30,185,ゆきふらし,,,TRUE
461,マニューラ,あく,こおり,70,120,65,45,85,125,34,プレッシャー,,わるいてぐせ,TRUE
462,ジバコイル,でんき,はがね,70,70,115,130,90,60,180,じりょく,がんじょう,アナライズ,
463,ベロベルト,ノーマル,,110,85,95,80,95,50,140,マイペース,どんかん,ノーてんき,
464,ドサイドン,じめん,いわ,115,140,130,55,55,40,282.8,ひらいしん,ハードロック,すてみ,TRUE
465,モジャンボ,くさ,,100,100,125,110,50,50,128.6,ようりょくそ,リーフガード,さいせいりょく,
466,エレキブル,でんき,,75,123,67,95,85,95,138.6,でんきエンジン,,やるき,
467,ブーバーン,ほのお,,75,95,67,125,95,83,68,ほのおのからだ,,やるき,
468,トゲキッス,フェアリー,ひこう,85,50,95,120,115,80,38,はりきり,てんのめぐみ,きょううん,
469,メガヤンマ,むし,ひこう,86,76,86,116,56,95,51.5,かそく,いろめがね,おみとおし,
470,リーフィア,くさ,,65,110,130,60,65,95,25.5,リーフガード,,ようりょくそ,TRUE
471,グレイシア,こおり,,65,60,110,130,95,65,25.9,ゆきがくれ,,アイスボディ,TRUE
472,グライオン,じめん,ひこう,75,95,125,45,75,95,42.5,かいりきバサミ,すながくれ,ポイズンヒール,TRUE
473,マンムー,こおり,じめん,110,130,80,70,60,80,291,どんかん,ゆきがくれ,あついしぼう,TRUE
