name,type,category,power,hits,alwaysCrit,teraAdative,notes,接触,切る技,音技,命中,PP,効果
ダイビング,みず,物理,80,1,,,,TRUE,,,100,12,1ターン目に水中へ潜り、2ターン目に攻撃する。水中にいる間は『なみのり』『うずしお』以外の技を受けない。
だいふんげき,ほのお,物理,120,1,,,,,,,100,12,自分は『あばれ』状態となり、2～3ターン連続で攻撃し、他の行動はできない。その後1～4ターンの間『こんらん』状態になる。
ダイマックスほう,ドラゴン,特殊,100,1,,,,,,,,,
だいもんじ,ほのお,特殊,110,1,,,,,,,85,8,10%の確率で相手を『やけど』状態にする。
ダイヤストーム,いわ,物理,100,1,,,,,,,,,
だくりゅう,みず,特殊,90,1,,,,,,,85,12,30%の確率で相手の命中率を1段階下げる。
ダストシュート,どく,物理,120,1,,,,,,,80,8,30%の確率で相手を『どく』状態にする。
ダブルアタック,ノーマル,物理,35,2,,,,TRUE,,,90,12,1ターンに2回連続で攻撃する。
ダブルウイング,ひこう,物理,40,2,,,,TRUE,,,90,12,1ターンに2回連続で攻撃する。
ダブルチョップ,ドラゴン,物理,40,2,,,,,,,,,
ダブルニードル,むし,物理,25,2,,,,,,,,,
ダブルパンツァー,はがね,物理,60,2,,,,,,,,,
だましうち,あく,物理,60,1,,,,,,,,,
ダメおし,あく,物理,60,1,,,,TRUE,,,100,12,そのターン、相手が既にダメージを受けている時、威力が2倍になる。
だんがいのつるぎ,じめん,物理,120,1,,,,,,,,,
チャージビーム,でんき,特殊,50,1,,,,,,,90,12,70%の確率で自分の『とくこう』ランクが1段階上がる。
チャームボイス,フェアリー,特殊,40,1,,,,,,,,,
ついばむ,ひこう,物理,60,1,,,,TRUE,,,100,20,相手が持っているバトルに効果のある『きのみ』を奪って、自分に使う。
ツインビーム,エスパー,特殊,40,1,,,,,,,100,12,1ターンに2回連続で攻撃する。
つけあがる,あく,物理,20,1,,,,TRUE,,,100,12,自分のいずれかの能力ランクが1つ上がる度に威力が20上がる。
つじぎり,あく,物理,70,1,,,,TRUE,TRUE,,100,20,急所に当たりやすい(急所ランク:+1)。
ツタこんぼう,くさ,物理,100,1,,,,,,,,,
つっぱり,かくとう,物理,15,2～5,,,,,,,,,
つつく,ひこう,物理,35,1,,,,,,,,,
つのでつく,ノーマル,物理,65,1,,,,,,,,,
つばさでうつ,ひこう,物理,60,1,,,,,,,,,
つばめがえし,ひこう,物理,60,1,,,,TRUE,TRUE,,-,20,自分の命中率、相手の回避率に関係なく必ず命中する。
つららおとし,こおり,物理,85,1,,,,,,,90,12,30%の確率で相手をひるませる。
つららばり,こおり,物理,25,2～5,,,,,,,100,20,1ターンに2～5回連続で攻撃する。
つるのムチ,くさ,物理,45,1,,,,,,,,,
テクノバスター,ノーマル,特殊,120,1,,,,,,,,,
てっていこうせん,はがね,特殊,140,1,,,,,,,95,8,自分のHPを最大HPの半分だけ減らす。『まもる』などで技が防がれた場合も、自分のHPは減る。
テラクラスター,ノーマル,特殊,120,1,,,,,,,,,
テラバースト,ノーマル,auto,80,1,,TRUE,,,,,,,
であいがしら,むし,物理,100,1,,,,TRUE,,,100,12,必ず先制できる(優先度:+2)。ただし、出た最初のターンしか成功しない。
DDラリアット,あく,物理,85,1,,,,TRUE,,,100,12,相手の能力ランクの変化に関係なく、ダメージを与える。
デカハンマー,はがね,物理,160,1,,,,,,,100,8,この技は2回連続で出すことができない。
デスウイング,ひこう,特殊,80,1,,,,,,,,,
でんきショック,でんき,特殊,40,1,,,,,,,,,
でんげきくちばし,でんき,物理,85,1,,,,,,,,,
でんげきは,でんき,特殊,60,1,,,,,,,,,
でんこうせっか,ノーマル,物理,40,1,,,,TRUE,,,100,20,必ず先制できる(優先度:+1)。
でんこうそうげき,でんき,物理,120,1,,,,,,,,,
でんじほう,でんき,特殊,120,1,,,,,,,50,8,100%の確率で相手を『まひ』状態にする。
ときのほうこう,ドラゴン,特殊,150,1,,,,,,,,,
とげキャノン,ノーマル,物理,20,2～5,,,,,,,,,
とっしん,ノーマル,物理,90,1,,,,,,,,,
とっておき,ノーマル,物理,140,1,,,,TRUE,,,100,8,この技は自分の持っている他の技をすべて使うと使えるようになる。
とどめばり,むし,物理,50,1,,,,TRUE,,,100,20,この技で相手を倒すと、自分の『こうげき』ランクが3段階上がる。
とびかかる,むし,物理,80,1,,,,TRUE,,,100,16,100%の確率で相手の『こうげき』ランクを1段階下げる。
とびげり,かくとう,物理,100,1,,,,,,,,,
とびつく,むし,物理,50,1,,,,TRUE,,,100,20,100%の確率で相手の『すばやさ』ランクを1段階下げる。
とびはねる,ひこう,物理,85,1,,,,TRUE,,,85,8,1ターン目に空中へ飛び上がり、2ターン目に攻撃する。空中にいる間は『うちおとす』『かぜおこし』『かみなり』『サウザンアロー』『スカイアッパー』『たつまき』『ぼうふう』以外の技を受けない。30%の確率で相手を『まひ』状態にする。
とびひざげり,かくとう,物理,130,1,,,,TRUE,,,90,12,攻撃が外れたり、相手の技『まもる』などで失敗すると、自分の最大HPの半分のダメージを自分が受ける。
ともえなげ,かくとう,物理,60,1,,,,TRUE,,,90,12,必ず後攻になる(優先度:-6)。攻撃後、相手のポケモンを強制的に交代させる。野生のポケモンの場合は戦闘を終了する。ダイマックスしている相手には追加効果は無効。
トライアタック,ノーマル,特殊,80,1,,,,,,,100,12,20%の確率で相手を『まひ』『やけど』『こおり』状態のうちの1つにする。どの状態異常になるかはランダム。
トラップシェル,ほのお,特殊,150,1,,,,,,,,,
トラバサミ,くさ,物理,35,1,,,,TRUE,,,100,16,相手を『バインド』状態にして、4～5ターンの間、毎ターン終了後最大HPの1/8のダメージを与え、その間『ゴースト』タイプではない相手は逃げたり交代できない。
トリックフラワー,くさ,物理,70,1,TRUE,,,,,,-,12,必ず急所に当たる。自分の命中率、相手の回避率に関係なく必ず命中する。
トリプルアクセル,こおり,物理,20,3,,,,TRUE,,,90,12,1ターンに外れるまで最大3回連続で攻撃する。攻撃が当たる度に威力が20ずつ増える。
トリプルキック,かくとう,物理,10,3,,,,,,,,,
トリプルダイブ,みず,物理,30,3,,,,,,,,,
トロピカルキック,くさ,物理,85,1,,,,TRUE,,,100,16,100%の確率で相手の『こうげき』ランクを1段階下げる。
とんぼがえり,むし,物理,70,1,,,,TRUE,,,100,20,攻撃後、手持ちのポケモンと入れ替わる。
どくづき,どく,物理,80,1,,,,TRUE,,,100,20,30%の確率で相手を『どく』状態にする。
どくどくのキバ,どく,物理,50,1,,,,TRUE,,,100,16,50%の確率で相手を『もうどく』状態にする。『もうどく』状態は通常の『どく』状態と違い、受けるダメージが1/16、2/16、3/16・・・と増えていく。交代すると改めて1/16からになる。
どくばり,どく,物理,15,1,,,,,,,,,
どくばりセンボン,どく,物理,60,1,,,,,,,,,
どげざつき,あく,物理,80,1,,,,,,,,,
ドゲザン,あく,物理,85,1,,,,TRUE,TRUE,,-,12,自分の命中率、相手の回避率に関係なく必ず命中する。
どばどばオーラ,エスパー,特殊,80,1,,,,,,,,,
ドラゴンアロー,ドラゴン,物理,50,2,,,,,,,100,12,1ターンに2回連続で攻撃する。相手が2匹いる場合は、それぞれに1回ずつ攻撃する。ただし、技『まもる』やタイプ相性などでダメージを与えられない時は片方に2回攻撃する。
ドラゴンエナジー,ドラゴン,特殊,150,1,,,,,,,,,
ドラゴンクロー,ドラゴン,物理,80,1,,,,TRUE,TRUE,,100,16,通常攻撃。
ドラゴンダイブ,ドラゴン,物理,100,1,,,,TRUE,,,75,12,20%の確率で相手をひるませる。相手が『ちいさくなる』を使用していると必ず命中し、威力が2倍になる。
ドラゴンテール,ドラゴン,物理,60,1,,,,TRUE,,,90,12,必ず後攻になる(優先度:-6)。攻撃後、相手のポケモンを強制的に交代させる。野生のポケモンの場合は戦闘を終了する。ダイマックスしている相手には追加効果は無効。
ドラゴンハンマー,ドラゴン,物理,90,1,,,,,,,,,
ドラムアタック,くさ,物理,80,1,,,,,,,,,
ドリルくちばし,ひこう,物理,80,1,,,,TRUE,,,100,20,通常攻撃。
ドリルライナー,じめん,物理,80,1,,,,TRUE,,,95,12,急所に当たりやすい(急所ランク:+1)。
ドレインキッス,フェアリー,特殊,50,1,,,,TRUE,,,100,12,相手に与えたダメージの3/4だけ自分のHPが回復する。
ドレインパンチ,かくとう,物理,75,1,,,,TRUE,,,100,12,相手に与えたダメージの半分だけ自分のHPが回復する。特性『てつのこぶし』の時、威力が1.2倍になる。
どろかけ,じめん,特殊,20,1,,,,,,,100,12,100%の確率で相手の命中率を1段階下げる。
どろばくだん,じめん,特殊,65,1,,,,,,,,,
どろぼう,あく,物理,60,1,,,,TRUE,,,100,20,相手が持っている道具を自分の物にする。自分が既に道具を持っている場合は失敗するが、技『はたきおとす』で自分の道具が無効化されている時は奪う事ができ、道具は上書きされる。トレーナー戦の場合はバトル終了後になくなる。
ナイトバースト,あく,特殊,90,1,,,,,,,95,12,40%の確率で相手の命中率を1段階下げる。
なしくずし,ノーマル,物理,70,1,,,,,,,,,
なみのり,みず,特殊,90,1,,,,,,,100,16,相手が『ダイビング』を使っている時でも命中し、ダメージが2倍になる。
ニードルアーム,くさ,物理,60,1,,,,,,,,,
ニトロチャージ,ほのお,物理,50,1,,,,TRUE,,,100,20,100%の確率で自分の『すばやさ』ランクが1段階上がる。
にどげり,かくとう,物理,30,1,,,,,,,,,
ねこだまし,ノーマル,物理,40,1,,,,TRUE,,,100,12,必ず先制でき(優先度:+3)、100%の確率で相手をひるませる。ただし、出た最初のターンしか成功しない。
ネコにこばん,ノーマル,物理,40,1,,,,,,,,,
ネズミざん,ノーマル,物理,20,1～10,,,,TRUE,TRUE,,90,12,1ターンに外れるまで最大10回連続で攻撃する。
ねっさのあらし,じめん,特殊,100,1,,,,,,,,,
ねっさのだいち,じめん,特殊,70,1,,,,,,,100,12,30%の確率で相手を『やけど』状態にする。自分が『こおり』状態の時でも使う事ができ、使うと『こおり』状態が治る。
ねっとう,みず,特殊,80,1,,,,,,,100,16,30%の確率で相手を『やけど』状態にする。自分が『こおり』状態の時でも使う事ができ、使うと『こおり』状態が治る。また、相手の『こおり』状態を治す。
ねっぷう,ほのお,特殊,95,1,,,,,,,90,12,10%の確率で相手を『やけど』状態にする。
ねらいうち,みず,特殊,85,1,,,,,,,,,
ねんりき,エスパー,特殊,50,1,,,,,,,,,
のしかかり,ノーマル,物理,85,1,,,,TRUE,,,100,16,30%の確率で相手を『まひ』状態にする。相手が技『ちいさくなる』を使用していると必ず命中し、威力が2倍になる。
ハートスタンプ,エスパー,物理,60,1,,,,,,,,,
ハードプラント,くさ,特殊,150,1,,,,,,,90,8,使用した次のターンは行動できない。
ハードローラー,むし,物理,65,1,,,,,,,,,
ハイドロカノン,みず,特殊,150,1,,,,,,,90,8,使用した次のターンは行動できない。
ハイドロスチーム,みず,特殊,80,1,,,,,,,,,
ハイドロポンプ,みず,特殊,110,1,,,,,,,80,8,通常攻撃。
ハイパードリル,ノーマル,物理,100,1,,,,,,,,,
ハイパーボイス,ノーマル,特殊,90,1,,,,,,TRUE,100,12,音系の技。相手の『みがわり』状態を貫通する。
はいよるいちげき,むし,物理,70,1,,,,TRUE,,,90,12,100%の確率で、相手の『とくこう』ランクを1段階下げる
はかいこうせん,ノーマル,特殊,150,1,,,,,,,90,8,使用した次のターンは行動できない。
はがねのつばさ,はがね,物理,70,1,,,,TRUE,,,90,20,10%の確率で自分の『ぼうぎょ』ランクが1段階上がる。
はさむ,ノーマル,物理,55,1,,,,,,,,,
はじけるほのお,ほのお,特殊,70,1,,,,,,,,,
はたきおとす,あく,物理,65,1,,,,TRUE,,,100,20,相手が道具を持っている場合、威力が1.5倍になり、さらに道具を持っていない状態にする。戦闘終了後、道具は元に戻る。
はたく,ノーマル,物理,40,1,,,,TRUE,,,100,20,通常攻撃。
はっけい,かくとう,物理,60,1,,,,,,,,,
はっぱカッター,くさ,物理,55,1,,,,,,,,,
はどうだん,かくとう,特殊,80,1,,,,,,,-,20,自分の命中率、相手の回避率に関係なく必ず命中する。
はなびらのまい,くさ,特殊,120,1,,,,TRUE,,,100,12,自分は『あばれ』状態となり、2～3ターン連続で攻撃し、他の行動はできない。その後1～4ターンの間『こんらん』状態になる。
はなふぶき,くさ,物理,90,1,,,,,,,100,16,通常攻撃。
はめつのねがい,はがね,特殊,140,1,,,,,,,,,
はめつのひかり,フェアリー,特殊,140,1,,,,,,,90,8,相手に与えたダメージの1/2を自分も受ける。
はやてがえし,かくとう,物理,65,1,,,,TRUE,,,100,16,必ず先制できる(優先度:+3)。相手を100%の確率でひるませる。ただし、そのターン相手が選んだ技が先制技ではない場合や、すでに攻撃を終えていた場合は失敗する。
はるのあらし,フェアリー,特殊,100,1,,,,,,,,,
バークアウト,あく,特殊,55,1,,,,,,TRUE,95,16,100%の確率で相手の『とくこう』ランクを1段階下げる。音系の技。相手の『みがわり』状態を貫通する。
ばかぢから,かくとう,物理,120,1,,,,TRUE,,,100,8,攻撃後、自分の『こうげき』『ぼうぎょ』ランクが1段階ずつ下がる。
ばくおんぱ,ノーマル,特殊,140,1,,,,,,TRUE,100,12,音系の技。相手の『みがわり』状態を貫通する。
ばくれつパンチ,かくとう,物理,100,1,,,,TRUE,,,50,8,100%の確率で相手を1～4ターンの間『こんらん』状態にする。特性『てつのこぶし』の時、威力が1.2倍になる。
ばちばちアクセル,でんき,物理,80,1,,,,,,,,,
バブルこうせん,みず,特殊,65,1,,,,,,,,,
バリアーラッシュ,エスパー,物理,90,1,,,,TRUE,,,90,12,攻撃後、100%の確率で自分の『ぼうぎょ』ランクが1段階上がる。
バレットパンチ,はがね,物理,40,1,,,,TRUE,,,100,20,必ず先制できる(優先度:+1)。特性『てつのこぶし』の時、威力が1.2倍になる。
パラボラチャージ,でんき,特殊,65,1,,,,,,,100,20,相手に与えたダメージの半分だけ自分のHPが回復する。
パワーウィップ,くさ,物理,120,1,,,,TRUE,,,85,12,通常攻撃。
パワージェム,いわ,特殊,80,1,,,,,,,100,20,通常攻撃。
パワフルエッジ,いわ,物理,95,1,,,,,,,,,
ひけん･ちえなみ,あく,物理,65,1,,,,TRUE,TRUE,,90,16,攻撃後、相手の場を『まきびし』状態にする。
ひっかく,ノーマル,物理,40,1,,,,,,,,,
ひっさつまえば,ノーマル,物理,80,1,,,,,,,,,
ひのこ,ほのお,特殊,40,1,,,,,,,,,
ひみつのちから,ノーマル,物理,70,1,,,,,,,,,
ひゃっきやこう,ゴースト,特殊,65,1,,,,,,,100,16,30%の確率で相手を『やけど』状態にする。相手が状態異常の時、威力が2倍になる。
ひやみず,みず,特殊,50,1,,,,,,,100,20,100%の確率で相手の『こうげき』ランクを1段階下げる。
ひょうざんおろし,こおり,物理,120,1,,,,,,,85,12,30%の確率で相手をひるませる。
ビックリヘッド,ほのお,特殊,150,1,,,,,,,,,
びりびりエレキ,でんき,特殊,60,1,,,,,,,,,
びりびりちくちく,でんき,物理,80,1,,,,,,,,,
ピヨピヨパンチ,ノーマル,物理,70,1,,,,,,,,,
ふいうち,あく,物理,70,1,,,,TRUE,,,100,8,必ず先制できる(優先度:+1)。そのターン相手が選んだ技が攻撃技ではない場合や、優先度などの関係ですでに攻撃を終えていた場合は失敗する。相手が『ねむり』『こおり』状態でも攻撃技を選択していれば成功する。
フェイタルクロー,どく,物理,80,1,,,,TRUE,TRUE,,100,16,30%の確率で、相手を『どく』『まひ』『ねむり』状態のいずれかにする。
フェイント,ノーマル,物理,30,1,,,,,,,100,12,必ず先制できる(優先度:+2)。相手が技『まもる』『みきり』『たたみがえし』『トーチカ』『キングシールド』『ニードルガード』『ブロッキング』『スレッドトラップ』『かえんのまもり』『ファストガード』『ワイドガード』をしている場合は、その効果を解除して攻撃できる(使用していない場合は通常攻撃)。『ダイウォール』は解除はできないが、貫通する。
フォトンゲイザー,エスパー,特殊,100,1,,,,,,,,,
ふぶき,こおり,特殊,110,1,,,,,,,70,8,10%の確率で相手を『こおり』状態にする。天気が『ゆき』の時は必ず命中する。
ふみつけ,ノーマル,物理,65,1,,,,,,,,,
フライングプレス,かくとう,物理,100,1,,,,TRUE,,,95,12,この技は『かくとう』タイプであると同時に『ひこう』タイプでもある。相手が技『ちいさくなる』を使用していると必ず命中し、威力が2倍になる。
フリーズドライ,こおり,特殊,70,1,,,,,,,100,20,10%の確率で相手を『こおり』状態にする。この技は『みず』タイプにも効果抜群になる。
フリーズボルト,こおり,物理,140,1,,,,,,,,,
フリーフォール,ひこう,物理,60,1,,,,,,,,,
フルールカノン,フェアリー,特殊,130,1,,,,,,,,,
フレアソング,ほのお,特殊,80,1,,,,,,TRUE,100,12,100%の確率で自分の『とくこう』ランクを1段階上げる。音系の技。相手の『みがわり』状態を貫通する。
フレアドライブ,ほのお,物理,120,1,,,,TRUE,,,100,16,相手に与えたダメージの33%を自分も受ける。10%の確率で相手を『やけど』状態にする。自分が『こおり』状態の時でも使う事ができ、使うと『こおり』状態が治る。
ふわふわフォール,ひこう,物理,90,1,,,,,,,,,
ふんえん,ほのお,特殊,80,1,,,,,,,100,16,30%の確率で相手を『やけど』状態にする。
ふんか,ほのお,特殊,150,1,,,,,,,100,8,自分のHPが少ないほど技の威力が下がる。(150×自分の残りHP÷自分の最大HP)が威力。
ふんどのこぶし,ゴースト,物理,50,1,,,,,,,,,
Vジェネレート,ほのお,物理,180,1,,,,,,,,,
ぶきみなじゅもん,エスパー,特殊,80,1,,,,,,TRUE,100,8,相手の最後に使った技のPPを3減らす。音系の技。相手の『みがわり』状態を貫通する。
ぶちかまし,じめん,物理,120,1,,,,TRUE,,,100,8,攻撃後、自分の『ぼうぎょ』『とくぼう』ランクが1段階ずつ下がる。特性『てつのこぶし』の時、威力が1.2倍になる。
ブラストバーン,ほのお,特殊,150,1,,,,,,,90,8,使用した次のターンは行動できない。
ブラッドムーン,ノーマル,特殊,140,1,,,,,,,,,
ブリザードランス,こおり,物理,120,1,,,,,,,,,
ブレイククロー,ノーマル,物理,75,1,,,,TRUE,TRUE,,95,12,50%の確率で相手の『ぼうぎょ』ランクを1段階下げる。
ブレイズキック,ほのお,物理,85,1,,,,TRUE,,,90,12,10%の確率で相手を『やけど』状態にする。急所に当たりやすい(急所ランク:+1)。
ブレイブバード,ひこう,物理,120,1,,,,TRUE,,,100,16,相手に与えたダメージの33%を自分も受ける。
ぶんまわす,あく,物理,60,1,,,,TRUE,,,100,20,通常攻撃。
プラズマフィスト,でんき,物理,100,1,,,,,,,,,
プリズムレーザー,エスパー,特殊,160,1,,,,,,,,,
ヘドロウェーブ,どく,特殊,95,1,,,,,,,100,12,10%の確率で相手を『どく』状態にする。
ヘドロこうげき,どく,特殊,65,1,,,,,,,,,
ヘドロばくだん,どく,特殊,90,1,,,,,,,100,12,30%の確率で相手を『どく』状態にする。
ベノムショック,どく,特殊,65,1,,,,,,,100,12,相手が『どく』『もうどく』状態の時、威力が2倍になる。
ホイールスピン,はがね,物理,100,1,,,,,,,,,
ほうでん,でんき,特殊,80,1,,,,,,,100,16,30%の確率で相手を『まひ』状態にする。
ほしがる,ノーマル,物理,60,1,,,,TRUE,,,100,20,相手が持っている道具を自分の物にする。自分が既に道具を持っている場合は失敗するが、技『はたきおとす』で自分の道具が無効化されている時は奪う事ができ、道具は上書きされる。トレーナー戦の場合はバトル終了後になくなる。
ほっぺすりすり,でんき,物理,20,1,,,,TRUE,,,100,20,100%の確率で相手を『まひ』状態にする。
ホネこんぼう,じめん,物理,65,1,,,,,,,,,
ホネブーメラン,じめん,物理,50,2,,,,,,,,,
ほのおのうず,ほのお,特殊,35,1,,,,,,,85,16,相手を『バインド』状態にして、4～5ターンの間、毎ターン終了後最大HPの1/8のダメージを与え、その間『ゴースト』タイプではない相手は逃げたり交代できない。
ほのおのキバ,ほのお,物理,65,1,,,,TRUE,,,95,16,10%の確率で相手を『やけど』状態にする。10%の確率で、相手をひるませる。
ほのおのちかい,ほのお,特殊,80,1,,,,,,,,,
ほのおのパンチ,ほのお,物理,75,1,,,,TRUE,,,100,16,10%の確率で相手を『やけど』状態にする。特性『てつのこぶし』の時、威力が1.2倍になる。
ほのおのまい,ほのお,特殊,80,1,,,,,,,100,12,50%の確率で自分の『とくこう』ランクが1段階上がる。
ほのおのムチ,ほのお,物理,90,1,,,,TRUE,,,100,16,100%の確率で相手の『ぼうぎょ』ランクを1段階下げる。
ボーンラッシュ,じめん,物理,30,2～5,,,,,,,90,12,1ターンに2～5回連続で攻撃する。
ぼうふう,ひこう,特殊,110,1,,,,,,,70,12,30%の確率で、相手を1～4ターンの間『こんらん』状態にする。天気が『あめ』の時は必ず命中し、『にほんばれ』の時は命中率が50%になる。相手が技『そらをとぶ』『とびはねる』『フリーフォール』を使っている時でも命中する。
ボディプレス,かくとう,物理,80,1,,,防御依存,TRUE,,,100,12,『こうげき』ではなく、自分の『ぼうぎょ』と『ぼうぎょ』ランクを『こうげき』の数値にしてダメージ計算する。
ボルテッカー,でんき,物理,120,1,,,,TRUE,,,100,16,相手に与えたダメージの33%を自分も受ける。10%の確率で相手を『まひ』状態にする。
ボルトチェンジ,でんき,特殊,70,1,,,,,,,100,20,攻撃後、手持ちのポケモンと入れ替わる。
ポイズンテール,どく,物理,50,1,,,,,,,,,
ポルターガイスト,ゴースト,物理,110,1,,,,,,,90,8,相手が道具を持っていない時は失敗する。なお、相手の道具を無効にする効果はない。
まきつく,ノーマル,物理,15,1,,,,TRUE,,,90,20,相手を『バインド』状態にして、4～5ターンの間、毎ターン終了後最大HPの1/8のダメージを与え、その間『ゴースト』タイプではない相手は逃げたり交代できない。
マグネットボム,はがね,物理,60,1,,,,,,,,,
マグマストーム,ほのお,特殊,100,1,,,,,,,,,
マジカルシャイン,フェアリー,特殊,80,1,,,,,,,100,12,通常攻撃。
マジカルフレイム,ほのお,特殊,75,1,,,,,,,100,12,100%の確率で相手の『とくこう』ランクを1段階下げる。
マジカルリーフ,くさ,特殊,60,1,,,,,,,,,
マッドショット,じめん,特殊,55,1,,,,,,,95,16,100%の確率で相手の『すばやさ』ランクを1段階下げる。
マッハパンチ,かくとう,物理,40,1,,,,TRUE,,,100,20,必ず先制できる(優先度:+1)。特性『てつのこぶし』の時、威力が1.2倍になる。
まとわりつく,むし,特殊,20,1,,,,TRUE,,,100,20,相手を『バインド』状態にして、4～5ターンの間、毎ターン終了後最大HPの1/8のダメージを与え、その間『ゴースト』タイプではない相手は逃げたり交代できない。
マルチアタック,ノーマル,物理,120,1,,,,,,,,,
まわしげり,かくとう,物理,60,1,,,,,,,,,
ミサイルばり,むし,物理,25,2～5,,,,,,,95,20,1ターンに2～5回連続で攻撃する。
ミストバースト,フェアリー,特殊,100,1,,,,,,,100,8,攻撃後、自分が『ひんし』状態になる。場の状態が『ミストフィールド』で、自分が『ひこう』タイプや特性『ふゆう』などではなく地面にいる時、威力が1.5倍になる。
ミストボール,エスパー,特殊,95,1,,,,,,,,,
みずあめボム,くさ,特殊,60,1,,,,,,,90,12,100%の確率で、相手を『あめまみれ』状態にする。3ターンの間、毎ターン終了時に相手の『すばやさ』ランクが1段階下がる。
みずしゅりけん,みず,特殊,15,2～5,,,,,,,100,20,必ず先制できる(優先度:+1)。1ターンに2～5回連続で攻撃する。
みずでっぽう,みず,特殊,40,1,,,,,,,,,
みずのちかい,みず,特殊,80,1,,,,,,,,,
みずのはどう,みず,特殊,60,1,,,,,,,100,20,20%の確率で相手を1～4ターンの間『こんらん』状態にする。
みだれづき,ノーマル,物理,15,2～5,,,,,,,,,
みだれひっかき,ノーマル,物理,18,2～5,,,,,,,,,
ミラーショット,はがね,特殊,65,1,,,,,,,,,
みらいよち,エスパー,特殊,120,1,,,,,,,100,12,2ターン後に攻撃する。交代した場合は同じ位置にいるポケモンに攻撃する。タイプ相性の影響を受ける。
みわくのボイス,フェアリー,特殊,80,1,,,,,,TRUE,100,12,100%の確率で、そのターンの間に能力ランクが上がった相手ポケモンを1～4ターンの間『こんらん』状態にする(通常は後攻で攻撃する必要があるが、場に出た時に能力ランクが上がった場合も対象となる)。音系の技。相手の『みがわり』状態を貫通する。
ムーンフォース,フェアリー,特殊,95,1,,,,,,,100,16,10%の確率で相手の『とくこう』ランクを1段階下げる。
ムゲンダイビーム,ドラゴン,特殊,160,1,,,,,,,,,
むしくい,むし,物理,60,1,,,,TRUE,,,100,20,相手が持っているバトルに効果のある『きのみ』を奪って、自分に使う。
むしのさざめき,むし,特殊,90,1,,,,,,TRUE,100,12,10%の確率で相手の『とくぼう』ランクを1段階下げる。音系の技。相手の『みがわり』状態を貫通する。
むしのていこう,むし,特殊,50,1,,,,,,,100,20,100%の確率で相手の『とくこう』ランクを1段階下げる。
むねんのつるぎ,ほのお,物理,90,1,,,,TRUE,TRUE,,100,12,相手に与えたダメージの半分だけ自分のHPが回復する。
メガトンキック,ノーマル,物理,120,1,,,,TRUE,,,75,8,通常攻撃。
メガトンパンチ,ノーマル,物理,80,1,,,,,,,,,
メガドレイン,くさ,特殊,40,1,,,,,,,,,
メガホーン,むし,物理,120,1,,,,TRUE,,,85,12,通常攻撃。
めざましビンタ,かくとう,物理,70,1,,,,,,,,,
めざめるダンス,ノーマル,特殊,90,1,,,,,,,,,
めざめるパワー,ノーマル,特殊,60,1,,,,,,,,,
メタルクロー,はがね,物理,50,1,,,,,,,,,
メテオドライブ,はがね,物理,100,1,,,,,,,,,
メテオビーム,いわ,特殊,120,1,,,,,,,90,12,1ターン目に100%の確率で自分の『とくこう』ランクを1段階上げ、2ターン目で攻撃する。
めらめらバーン,ほのお,物理,60,1,,,,,,,,,
もえあがるいかり,あく,特殊,90,1,,,,,,,,,
もえつきる,ほのお,特殊,130,1,,,,,,,100,8,攻撃後、自分は『ほのお』タイプではなくなる。自分が『ほのお』タイプではない時は失敗する。自分が『こおり』状態の時でも使う事ができ、使うと『こおり』状態が治る。
もろはのずつき,いわ,物理,150,1,,,,TRUE,,,80,8,相手に与えたダメージの1/2を自分も受ける。
やきつくす,ほのお,特殊,60,1,,,,,,,,,
やけっぱち,ほのお,物理,75,1,,,,TRUE,,,100,12,前のターンで自分が使った技が外れたり失敗したり、『まひ』『こんらん』『ひるみ』状態などで行動できなかった場合、威力が2倍になる。
やまあらし,かくとう,物理,60,1,TRUE,,,TRUE,,,100,12,必ず急所に当たる。
ゆめくい,エスパー,特殊,100,1,,,,,,,,,
ようかいえき,どく,特殊,40,1,,,,,,,,,
ようせいのかぜ,フェアリー,特殊,40,1,,,,,,,,,
らいげき,でんき,物理,130,1,,,,,,,,,
ライジングボルト,でんき,特殊,70,1,,,,,,,100,20,場の状態が『エレキフィールド』で、なおかつ相手が『ひこう』タイプや特性『ふゆう』などではなく地面にいる時、威力が2倍になる(自分も地面にいれば、フィールドの1.3倍の効果もさらに加わる)。
らいめいげり,かくとう,物理,90,1,,,,,,,,,
ラスターカノン,はがね,特殊,80,1,,,,,,,100,12,10%の確率で相手の『とくぼう』ランクを1段階下げる。
ラスターパージ,エスパー,特殊,95,1,,,,,,,,,
リーフストーム,くさ,特殊,130,1,,,,,,,90,8,攻撃後、100%の確率で自分の『とくこう』ランクが2段階下がる。
リーフブレード,くさ,物理,90,1,,,,TRUE,TRUE,,100,16,急所に当たりやすい(急所ランク:+1)。
りゅうせいぐん,ドラゴン,特殊,130,1,,,,,,,90,8,攻撃後、100%の確率で自分の『とくこう』ランクが2段階下がる。
りゅうのいぶき,ドラゴン,特殊,60,1,,,,,,,,,
りゅうのはどう,ドラゴン,特殊,85,1,,,,,,,100,12,通常攻撃。
りんごさん,くさ,特殊,90,1,,,,,,,100,12,100%の確率で相手の『とくぼう』ランクを1段階下げる。
